Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,48.63,96.64,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,155.84,-4.27,90,100nF,EAGLE-LTSPICE_C0402,
C10,60.78,96.53,90,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,95.49,37.14,270,CPH3225A,CAPCP3225X100N,
C1_BAT,116.73,38.85,180,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,116.88,26.37,0,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,135.02,29.37,90,4.7uF,EAGLE-LTSPICE_C0402,
C2,154.32,-4.27,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,129.94,42.55,90,4.7uF,EAGLE-LTSPICE_C0402,
C3,130.21,28.9,90,100uF TANT,RCL_CT3528,
C4,91.79,21.69,270,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,150.39,36.35,180,100nF,EAGLE-LTSPICE_C0402,
C5,20.47,96.71,270,1uF,EAGLE-LTSPICE_C0402,
C5_USB,150.28,34.75,180,4.7uF,EAGLE-LTSPICE_C0402,
C6,43.85,96.63,90,100nF,EAGLE-LTSPICE_C0402,
C7,95.39,17.33,270,10uF,EAGLE-LTSPICE_C0402,
C8,92.78,36.83,90,100nF,EAGLE-LTSPICE_C0402,
C9,8.66,89.83,180,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,63.96,96.73,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,123.04,38.15,270,,ADAFRUIT_CHIP-LED0603,
C_DELAY,52.07,90.99,90,100nF,EAGLE-LTSPICE_C0402,
D1,150.08,44.98,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,122.62,-2.83,90,PGB1010603MR,DIOC1608X36N,
D11,119.5,-2.83,90,PGB1010603MR,DIOC1608X36N,
D12,116.28,-2.83,90,PGB1010603MR,DIOC1608X36N,
D2,117.89,29.58,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,81.56,25.37,0,MBR0530,SOD3716X135N,
D4,88.22,21.78,0,MBR0530,SOD3716X135N,
D5,88.16,17.88,0,MBR0530,SOD3716X135N,
D6,129.18,-2.83,90,PGB1010603MR,DIOC1608X36N,
D7,87.74,53.38,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,132.46,-2.83,90,PGB1010603MR,DIOC1608X36N,
D9,125.84,-2.83,90,PGB1010603MR,DIOC1608X36N,
EPD_C1,94.66,4.67,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C10,81.71,12.19,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C11,79.99,12.19,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C12,78.25,12.19,90,1uF/50v,EAGLE-LTSPICE_C0402,
EPD_C2,66.87,4.37,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C5,90.19,12.24,90,0.1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C6,88.48,12.27,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C7,86.78,12.25,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C8,85.09,12.25,90,1uF_50V,EAGLE-LTSPICE_C0402,
EPD_C9,83.4,12.25,90,1uF_50V,EAGLE-LTSPICE_C0402,
IC1,48.35,91.17,0,BD5229G-TR,SOT95P280X125-5N,
IC4,123.53,29.29,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,84.37,2.94,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,164.81,42.89,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,166.96,7.96,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,8.35,76.53,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,81.67,20.45,0,68uH,IND_4828-WE-TPC_WRE,
MCP73831,129.45,38.29,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
PFMF.050.1,155.74,30.9,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,138.26,35.61,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,71.73,20.06,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,58.69,1.58,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,8.55,29.33,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,132.53,-7.57,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,122.95,35.45,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,93.56,49.37,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,157.21,-4.21,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,116.15,29.64,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,57.33,-5.49,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,155.38,40.43,270,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,142.1,40.67,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,128.86,34.05,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH,84.44,32.17,180,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH1,158.75,-4.21,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,53.71,-2.57,0,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,65.19,-4.77,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,126.11,-7.49,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,122.83,-7.59,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,119.65,-7.49,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,116.37,-7.49,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,129.29,-7.49,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,23.95,96.73,180,BUTTON_CUSYOMV1,MYBUTTON,
R_BOOT,53.71,96.47,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,85.05,49.14,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,67.54,96.64,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,81.66,15.33,0,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,27.42,96.59,272,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,155.61,1.51,0,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,54.26,-5.71,0,,SJ,
TP1,13.11,59.29,0,TPTP20R,TP20R,
TP10,30.88,30.41,0,TPTP20R,TP20R,
TP11,23.69,25.29,0,TPTP20R,TP20R,
TP12,77.23,93.91,0,TPTP20R,TP20R,
TP13,77.28,90.71,0,TPTP20R,TP20R,
TP14,105.53,47.81,0,TPTP20R,TP20R,
TP15,19.28,-4.49,0,TPTP20R,TP20R,
TP16,165.53,21.71,0,TPTP20R,TP20R,
TP17,70.28,-6.29,0,TPTP20R,TP20R,
TP2,18.13,60.99,0,TPTP20R,TP20R,
TP3,101.85,51.89,0,TPTP20R,TP20R,
TP4,8.67,95.19,0,TPTP20R,TP20R,
TP5,5.69,95.39,0,TPTP20R,TP20R,
TP6,14.01,88.59,0,TPTP20R,TP20R,
TP7,13.13,-3.01,0,TPTP20R,TP20R,
TP8,8.35,-3.51,0,TPTP20R,TP20R,
TP9,12.17,65.39,0,TPTP20R,TP20R,
U1,43.1,41.76,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,15.79,43.44,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,84.7,41.3,90,DS3231SN#,SOIC127P1032X265-16N,
U4,101.14,43.72,0,MAX17048G+T10,SON50P200X200X80-9N,
